2011-03-02 19:26:38 Debug: Notice (8): Undefined variable: selectedCountry in [D:\webroot\mihinlanka\app\views\pages\travelagents.ctp, line 15]
2011-03-02 19:26:38 Debug: Notice (8): Undefined variable: selectedCountry in [D:\webroot\mihinlanka\app\views\pages\travelagents.ctp, line 16]
2011-03-02 19:30:28 Debug: Notice (8): Undefined variable: selectedCountry in [D:\webroot\mihinlanka\app\views\pages\travelagents.ctp, line 13]
2011-03-02 19:30:28 Debug: Notice (8): Undefined variable: selectedCountry in [D:\webroot\mihinlanka\app\views\pages\travelagents.ctp, line 14]
2011-03-02 19:30:28 Debug: Notice (8): Undefined variable: selectedCountry in [D:\webroot\mihinlanka\app\views\pages\travelagents.ctp, line 15]
2011-03-02 19:30:28 Debug: Notice (8): Undefined variable: selectedCountry in [D:\webroot\mihinlanka\app\views\pages\travelagents.ctp, line 16]
2011-03-06 10:15:54 Debug: Notice (8): Undefined variable: selectedCountry in [D:\webroot\mihinlanka\app\views\pages\flight-schedule.ctp, line 13]
2011-03-06 10:15:54 Debug: Notice (8): Undefined variable: selectedCountry in [D:\webroot\mihinlanka\app\views\pages\flight-schedule.ctp, line 14]
2011-03-06 10:15:54 Debug: Notice (8): Undefined variable: selectedCountry in [D:\webroot\mihinlanka\app\views\pages\flight-schedule.ctp, line 15]
2011-03-06 10:15:54 Debug: Notice (8): Undefined variable: selectedCountry in [D:\webroot\mihinlanka\app\views\pages\flight-schedule.ctp, line 16]
2011-03-06 10:23:49 Debug: Notice (8): Undefined variable: selectedCountry in [D:\webroot\mihinlanka\app\views\pages\flight-schedule.ctp, line 13]
2011-03-06 10:23:49 Debug: Notice (8): Undefined variable: selectedCountry in [D:\webroot\mihinlanka\app\views\pages\flight-schedule.ctp, line 14]
2011-03-06 10:23:49 Debug: Notice (8): Undefined variable: selectedCountry in [D:\webroot\mihinlanka\app\views\pages\flight-schedule.ctp, line 15]
2011-03-06 10:23:49 Debug: Notice (8): Undefined variable: selectedCountry in [D:\webroot\mihinlanka\app\views\pages\flight-schedule.ctp, line 16]
2011-03-06 10:23:49 Debug: Notice (8): Undefined variable: selectedCountry in [D:\webroot\mihinlanka\app\views\pages\flight-schedule.ctp, line 17]
2011-03-06 10:23:49 Debug: Notice (8): Undefined variable: selectedCountry in [D:\webroot\mihinlanka\app\views\pages\flight-schedule.ctp, line 18]
2011-03-06 10:23:49 Debug: Notice (8): Undefined variable: selectedCountry in [D:\webroot\mihinlanka\app\views\pages\flight-schedule.ctp, line 19]
2011-03-06 10:23:49 Debug: Notice (8): Undefined variable: selectedCountry in [D:\webroot\mihinlanka\app\views\pages\flight-schedule.ctp, line 20]
2011-03-06 10:24:50 Debug: Notice (8): Undefined variable: selectedCountry in [D:\webroot\mihinlanka\app\views\pages\flight-schedule.ctp, line 13]
2011-03-06 10:24:50 Debug: Notice (8): Undefined variable: selectedCountry in [D:\webroot\mihinlanka\app\views\pages\flight-schedule.ctp, line 14]
2011-03-06 10:24:50 Debug: Notice (8): Undefined variable: selectedCountry in [D:\webroot\mihinlanka\app\views\pages\flight-schedule.ctp, line 15]
2011-03-06 10:24:50 Debug: Notice (8): Undefined variable: selectedCountry in [D:\webroot\mihinlanka\app\views\pages\flight-schedule.ctp, line 16]
2011-03-06 10:24:50 Debug: Notice (8): Undefined variable: selectedCountry in [D:\webroot\mihinlanka\app\views\pages\flight-schedule.ctp, line 17]
2011-03-06 10:24:50 Debug: Notice (8): Undefined variable: selectedCountry in [D:\webroot\mihinlanka\app\views\pages\flight-schedule.ctp, line 18]
2011-03-06 10:24:50 Debug: Notice (8): Undefined variable: selectedCountry in [D:\webroot\mihinlanka\app\views\pages\flight-schedule.ctp, line 19]
2011-03-06 10:24:50 Debug: Notice (8): Undefined variable: selectedCountry in [D:\webroot\mihinlanka\app\views\pages\flight-schedule.ctp, line 20]
2011-03-07 19:00:29 Debug: Notice (8): Undefined variable: file in [D:\webroot\mihinlanka\app\views\destinations\index.ctp, line 19]
2011-03-07 19:00:50 Debug: Notice (8): Undefined variable: file in [D:\webroot\mihinlanka\app\views\destinations\index.ctp, line 20]
2011-03-10 19:55:23 Debug: Notice (8): Undefined variable: cities in [D:\webroot\mihinlanka\app\views\layouts\home.ctp, line 31]
2011-03-10 19:59:42 Debug: Notice (8): Undefined variable: cities in [D:\webroot\mihinlanka\app\views\layouts\home.ctp, line 32]
2011-03-10 20:01:16 Debug: Notice (8): Undefined variable: cities in [D:\webroot\mihinlanka\app\views\layouts\home.ctp, line 32]
2011-03-10 20:01:20 Debug: Notice (8): Undefined variable: cities in [D:\webroot\mihinlanka\app\views\layouts\home.ctp, line 32]
2011-03-10 20:01:57 Debug: Notice (8): Undefined variable: cities in [D:\webroot\mihinlanka\app\views\layouts\home.ctp, line 32]
